cell_id,x,y,feeds,last_fed
11,9.621,7.333,1,511
12,10.073,7.169,1,581
16,8.396,7.364,1,465
18,9.23,7.014,1,491
21,10.629,6.603,1,617
22,10.999,6.5,1,560
23,7.666,7.107,1,368
24,8.098,7.014,1,424
27,9.384,6.5,1,477
28,9.847,6.325,1,499
30,10.763,6.119,1,546
31,11.205,6.037,1,559
34,8.19,6.541,2,718
35,8.612,6.356,1,471
36,9.024,6.202,1,378
40,10.958,5.677,1,539
41,11.38,5.574,1,449
42,7.357,6.366,1,346
45,8.705,5.913,2,717
49,10.67,5.327,1,410
50,11.133,5.183,1,551
52,6.976,6.068,1,342
55,8.386,5.553,2,682
58,9.785,5.111,1,350
60,10.773,4.833,1,473
61,11.236,4.71,1,566
62,11.596,4.627,1,664
67,7.614,5.42,2,713
68,8.046,5.224,2,715
74,10.866,4.329,1,462
75,11.308,4.175,1,660
78,6.781,5.255,2,795
86,10.557,3.938,1,379
87,10.969,3.794,1,650
91,6.812,4.73,2,758
93,7.789,4.422,2,688
95,8.715,4.123,2,687
96,9.178,3.948,2,690
100,11.133,3.279,1,657
102,6.462,4.308,2,799
103,6.884,4.226,2,733
106,8.365,3.763,2,706
107,8.777,3.598,2,706
108,9.261,3.382,1,360
110,10.279,3.012,1,368
111,10.742,2.868,1,621
112,11.185,2.806,1,630
114,6.534,3.886,1,358
115,6.987,3.753,1,392
117,7.974,3.465,2,738
118,8.427,3.228,2,746
120,9.363,2.847,1,429
122,10.361,2.467,1,587
123,10.804,2.374,1,635
125,6.606,3.362,1,366
128,8.015,2.899,2,788
129,8.468,2.713,1,363
130,8.962,2.518,2,792
131,9.425,2.302,1,456
132,9.94,2.168,1,572
133,10.382,2.014,1,617
135,6.657,2.868,1,394
136,7.141,2.693,2,763
139,8.53,2.199,1,384
140,9.014,2.034,1,482
141,9.477,1.839,1,520
142,9.96,1.746,1,591
145,7.285,2.24,1,409
147,8.088,1.87,1,389
148,8.54,1.643,1,455
149,9.075,1.489,1,506
150,9.6,1.427,1,528
153,7.707,1.705,1,420
155,8.623,1.221,1,503
157,7.83,1.355,1,451
158,8.242,1.149,1,472
8,8.166,7.808,1,433
10,8.98,7.386,1,491
12,9.901,7.053,1,530
13,10.333,6.896,1,615
15,7.853,7.533,1,436
17,8.656,7.102,1,472
18,9.068,6.926,1,490
19,9.529,6.739,1,498
20,10.039,6.573,1,544
21,10.48,6.416,1,645
22,10.892,6.298,1,568
27,9.215,6.465,1,475
28,9.696,6.259,1,413
29,10.156,6.122,1,553
31,11.019,5.886,2,791
34,7.98,6.484,1,423
35,8.392,6.328,1,390
44,7.607,6.19,1,422
45,8.078,6.004,2,715
46,8.509,5.847,2,684
47,8.951,5.651,2,695
48,9.46,5.475,2,752
54,7.284,5.896,2,713
55,7.686,5.681,2,749
56,8.127,5.514,2,683
58,9.098,5.122,2,741
62,10.999,4.465,1,488
65,6.862,5.592,2,796
67,7.804,5.19,2,747
73,10.686,4.092,1,452
74,11.137,3.936,1,662
78,7.421,4.857,2,693
82,9.303,4.102,2,706
83,9.862,3.847,2,765
84,10.343,3.681,1,356
85,10.764,3.563,1,405
90,7.0,4.534,2,743
98,10.794,3.043,1,622
103,7.529,3.847,2,675
110,10.774,2.622,1,623
111,10.999,2.602,1,643
112,6.245,3.789,1,388
113,6.666,3.798,1,362
114,7.108,3.563,1,375
115,7.549,3.318,2,746
116,8.029,3.083,1,372
117,8.5,2.857,1,357
119,9.519,2.445,1,424
120,9.97,2.279,1,534
124,7.598,2.867,1,378
125,8.068,2.622,1,401
126,8.539,2.318,1,381
128,9.529,2.014,1,468
129,9.921,1.896,1,598
130,6.353,2.818,1,397
131,6.735,2.759,1,399
132,7.206,2.612,1,404
133,7.647,2.396,2,769
136,9.088,1.691,1,507
13,5.15,6.29,1,410
14,5.644,6.407,1,372
23,6.415,6.102,2,775
24,6.882,6.246,2,775
25,7.241,6.38,1,345
34,7.618,5.967,2,751
35,8.031,6.147,2,701
37,4.666,4.989,1,462
41,6.649,5.151,2,758
44,7.914,5.671,1,358
51,6.433,4.702,2,798
54,7.788,5.124,2,735
56,8.578,5.51,2,681
60,5.823,4.137,2,785
61,6.281,4.227,1,352
62,6.801,4.361,1,347
63,7.25,4.487,2,674
64,7.618,4.693,2,675
67,8.829,5.214,2,682
69,5.168,3.966,2,727
72,6.604,3.832,1,361
73,7.097,4.011,2,698
76,8.354,4.568,2,677
83,6.936,3.518,1,393
84,7.429,3.733,2,679
88,9.027,4.442,2,670
89,9.35,4.559,2,708
93,7.268,3.159,2,758
94,7.752,3.473,2,738
95,8.129,3.697,2,704
96,8.533,3.814,2,729
103,8.022,3.141,2,785
106,9.206,3.572,2,764
108,7.986,2.737,1,382
